P0077	KALLPA 35-10-10 XLT	63
P0079	K-ÑON XLT	14
P0080	KOBRES LIQ XLT	40
P0082	LUXAZIM XLT	97
P0083	MALATHION X100ML	2
P0084	MASTER DOWN XLT	26
P0085	MATADOR XLT	755
P0086	MERTEC X100ML	2004
P0088	MITERRA XLT	6
P0089	MONTAFOL CALCIO BORO  XLT	91
P0090	MULTIGEL X250ML	278
P0091	MULTIGEL X500ML	34
P0092	MULTIGEL XLT	53
P0093	NIAGARA X250ML	11
P0094	NIAGARA X500ML	6
P0095	NIAGARA XLT	8
P0096	ONCOL XLT	3
P0097	OPERA X250ML	154
P0098	OPERA XLT	30
P0099	PACKHARD XLT	32
P01001	ALTO XL	26
P01002	CUAJO HANSEN ROJO	358
P01003	GIB- BEX 250	56
P01003	MOCHILA AGROVET CHINO	38
P01004	CUAJO HANSEN VERDE	520
P01005	KRESO	68
P01006	SUPER FOLIAR 500 G	1005
P01008	COLOSO X100GR	461
P01009	COMPUESTO PURA HOJA	537
P0101	PEGASOL X500ML	6
P01011	SUPER FOLIAR 20 20 XK	1387
P01012	KALLPA CERO FLORES	306
P01014	ALDRIN	21
P01014	TELL 25	128
P01015	FOLICUR 250ML	84
P01016	HEMATEC 250ML	14
P01018	AKTIMAX KG	10
P01018	REY PULGON	873
P01019	RANIDE XLT	9
P0102	PEGASOL XLT	69
P01021	CYPERKLIN 500 ML	40
P0104	POLIPHOS XLT	37
P0105	PROMET B XLT	6
P0106	PROMET CA XLT	9
P0108	PROTEXIN X250ML	822
P0109	PROTEXIN X500ML	372
P0110	PROTEXIN XLT	863
P0111	PROTON XLT	30
P0112	PROXY X250ML	8
P0113	QUATEX XLT	4755
P0114	QUIMIFOL NEXTRA XLT	3
P0115	RANGO XLT	21
P0116	RAYOSAC XLT	78
P0117	REGEN X250ML	274
P0118	ROOT-HOR X250ML	118
P0119	ROUNDUP XLT	52
P0120	RYZUP X25ML	4723
P0121	SCORE X250ML	12
P0122	SCORE XLT	2
P0123	SECASUPER XLT	1158
P0124	SILVACUR COMBI X250ML	463
P0125	SILVACUR COMBI XLT	100
P0126	SLIDER X250ML	2
P0128	SPIDER X250ML	1
P0129	SPIDER XLT	6
P0130	STERMIN XLT	7809
P0131	STRONGPHOS XLT	34
P0133	SUPER HERBOX XLT	531
P0134	THRU MASTER X250ML	180
P0135	TIFON X250ML	3373
P0136	TIFON X500ML	553
P0137	TIFON XLT	534
P0138	TRIGGER TRIHORMONAL XLT	24
P0139	TRIOFOSFOL XLT	529
P0140	TRIPLE A X250ML	50
P0141	TRIPLE A XLT	84
P0142	VEKTRA PACK X100ML	13
P0143	WUXAL DOBLE XLT	2015
P0144	WUXAL CALCIO XLT	400
P0145	WUXAL TOP MAGNESIO XLT	94
P0146	WUXAL FÓSFORO XLT	48
P0147	ZEAMAX XLT	45
P0148	ac. gibrelico xpastilla	2
